ODF Experience / Scenario;Feature;Sub Feature;Priority ;Delivery Milestone ;Completion Status;Technical description;Comment
;;Number Level Style;;0.1;Completed;"text:list-level-style-number is converted to w:lvl 
and w:lvl/@w:ilvi is based on text:list-level-style-number/@text:level.
If text:list-level-style-number/@text:start-value exists, it is converted to w:lvl/w:start/@w:val
Otherwise, it is set to value 1.
Attributes @style:num-prefix and @style:num-suffix along with @text:level are used to build w:lvl/w:lvlText/@w:val
Style property style:list-level-properties/@text:space-before defines w:lvl/w:pPr/w:ind/@w:left and style:list-level-properties/@text:min-label-width defines w:lvl/w:pPr/w:ind/@w:hanging. For both properties, conversion to twip (twentieth of a point) is required.
@style:num-format is converted to w:lvl/w:numFmt/@w:val
";
;;Bullet Level Style;;0.1;Partial;"w:lvl/w:numFmt/@w:val set to 'bullet'
w:lvl/w:lvlText/@w:val set to ""•""
w:lvl/w:lvlJc/@w:val set to ""left""
Same indentation properties as for text:list-level-style-number";
;;Image Level Style;;;;;
;;List Level Style Example;;;;;
;Outline Style;;;;;;
;;Outline Level Style;;0.1;Completed;w:ilvi child is the item level starting at 0.;
;Table Styles;;;;;;
;;Table Styles;;;;;
;;Table Column Styles;;;;;
;;Table Row Styles;;;;;
;;Table Cell Styles;;0.1;Partial;See Table Formatting Properties;
;Graphic Styles;;;;;;
;;Graphic and Presentation Styles;;;;;
;;Drawing Page Style;;;;;
;Enhanced Graphic Style Elements;;;;;;
;;Gradient;;;;;
;;SVG Gradients;;;;;
;;Hatch;;;;;
;;Fill Image;;;;;
;;Opacity Gradient;;;;;
;;Marker;;;;;
;;StrCompletede Dash;;;;;
Formatting Properties;;;;;;;
;Simple and Complex Formatting Properties;;;;;;
;;Simple Formatting Properties;;;;;
;;Complex Formatting Properties;;;;;
;;Processing Rules for Formatting Properties;;;;;
;Page Layout Formatting Properties;;;;;;
;;Page Size;;;;;
;;Page Number Format;;;;;
;;Paper Tray;;;;;
;;Print Orientation;;;;;
;;Margins;;;;;
;;Border;;;;;
;;Border Line Width;;;;;
;;Padding;;;;;
;;Shadow;;;;;
;;Background;;;;;
;;Columns;;;;;
;;Register-truth;;;;;
;;Print;;;;;
;;Print Page Order;;;;;
;;First Page Number;;;;;
;;Scale;;;;;
;;Table Centering;;;;;
;;Maximum Footnote Height;;;;;
;;Writing Mode;;;;;
;;Footnote Separator;;;;;
;;Layout Grid;;;;;
;;Layout Grid Base Height;;;;;
;;Layout Grid Ruby Height;;;;;
;;Layout Grid Lines;;;;;
;;Layout Grid Color;;;;;
;;Layout Grid Ruby Below;;;;;
;;Layout Grid Print;;;;;
;;Layout Grid Display;;;;;
;Header Footer Formatting Properties;;;;;;
;;Fixed and Minimum heights;;;;;
;;Margins;;;;;
;;Border;;;;;
;;Border Line Width;;;;;
;;Padding;;;;;
;;Background;;;;;
;;Shadow;;;;;
;;Dynamic Spacing;;;;;
;Text Formatting Properties;;;;;;
;;Font Variant;;;;;
;;Text Transformations;;;;;
;;Color;;0.1;Completed;style:text-properties/@fo:color used in w:styles/w:style/w:rPr/w:color/@w:val;
;;Window Font Color;;;;;
;;Text Outline;;;;;
;;Line Through Type;;;;;
;;Line Through Style;;;;;
;;Line Through Width;;;;;
;;Line Through Color;;;;;
;;Line Through Text;;;;;
;;Line Through Text Style;;;;;
;;Text Position;;;;;
;;Font Name;;0.1;Completed;"style:text-properties/@style:font-name copied to 
/w:styles/w:style/w:rPr/w:rFonts/@w:ascii and @w:hAnsi attributes";
;;Font Family;;0.1;Partial;"style:style/@style:font-family converted to w:styles/w:style/@w:type
'text' family matches 'character' type.
'graphic', 'section' and 'paragraph' families match 'paragraph' type. ";
;;Font Family Generic;;;;;
;;Font style;;0.1;Completed;"style:style[@fo:font-style='italic'] converted to w:styles/w:style/w:rPr/w:i
style:style[@fo:font-style-complex='italic'] converted to w:styles/w:style/w:rPr/w:i-cs";
;;Font Pitch;;;;;
;;Font Character Set;;;;;
;;Font Size;;0.1;Completed;"style:text-properties/@fo:font-size converted to w:styles/w:style/w:rPr/@w:sz
If fo:font-size is expressed in percentage of a parent font-size, we climb up the style ancestors until we find an absolute size (expressed in points). If none was found, the size of the default style (office:styles/style:default-style)  in the same family is used. ";
;;Relative Font Size;;;;;
;;Script Type;;;;;
;;Letter Spacing;;;;;
;;Language;;;;;
;;Country;;;;;
;;Font Style;;;;;
;;Font Relief;;;;;
;;Text Shadow;;;;;
;;Underlining Type;;0.2;Completed;ODF 'double' value only makes sense for OOX 'double' and 'wavyDouble'. ;The translation might be lossy, because underline feature is richer in ODF than in OOX
;;Underlining Style;;0.2;Completed;"style:style/@style:text-underline-style used in w:styles/w:style/w:rPr/w:u/@w:val
solid -> single
dotted -> dotted
dash -> dash
long-dash -> dashLong
dot-dash -> dotDash
dot-dot-dash -> dotDotDash
wave -> wave
otherwise 'single' is used.";The translation might be lossy, because underline feature is richer in ODF than in OOX
;;Underling Width;;0.2;Completed;ODF 'thick' or 'bold' values produce OOX *Heavy* underline style when it exists.  ;The translation might be lossy, because underline feature is richer in ODF than in OOX
;;Underline Color;;0.1;Completed;"style:style/@style:text-underline-color converted to w:styles/w:style/w:rPr/w:u/@w:color
'font-color' is converted to 'auto'
otherwise RGB values are parsed. ";
;;Font Weight;;0.1;Partial;"style:text-properties/@fo:font-weight translated to w:styles/w:style/w:rPr/w:b
style:text-properties/@fo:font-complex-weight translated to w:styles/w:style/w:rPr/w:b-cs";
;;Text Underline Word Mode;;;;;
;;Text Line Through Word Mode;;;;;
;;Letter Kerning;;;;;
;;Text Blinking;;;;;
;;Text Background Color;;;;;
;;Text Combine;;;;;
;;Text Combine Start and End Characters;;;;;
;;Text Emphasis;;;;;
;;Text Scale;;;;;
;;Text Rotation Angle;;;;;
;;Text Rotation Scale;;;;;
;;Hyphenation;;;;;
;;Hyphenation Remain Char Count;;;;;
;;Hyphenation Push Char Count;;;;;
;;Hidden or Conditional Text;;;;;
;Paragraph Formatting Properties;;;;;;
;;Fixed Line Height;;0.1;;"styles:paragraph-properties/@fo:line-height translated to w:styles/w:style/w:pPr/w:spacing
@w:lineRule set to 'auto' if @w:line is expressed in percentage, otherwise, it is set to 'exact'. Attribute @w:line is the twip (twentieth of a point) measure of line-height";
;;Minimum Line Height;;0.1;Partial;"styles:paragraph-properties/@style:line-height-at-least translated to w:styles/w:style/w:pPr/w:spacing
@w:lineRule set to 'atLeast' and @w:line is the twip measure of line-height ";
;;Line Distance;;;;;
;;Font-Independent Line Spacing;;;;;
;;Text Align;;0.1;Partial;"style:paragraph-properties/@fo:text-align converted to w:styles/w:style/w:pPr/w:jc.Translated values are :
center -> center
start -> left
end -> right
justify -> both
otherwise start";
;;Text Align of Last Line;;;;;
;;Justify Single Word;;;;;
;;Keep Together;;;;;
;;Widows;;;;;
;;Orphans;;;;;
;;Tab Stops;;0.1;Partial;"style:paragraph-properties/style:tab-stops converted to w:styles/w:style/w:pPr/w:tabs
style:paragraph-properties/style:tab-stops/style:tab-stop converted to w:styles/w:style/w:pPr/w:tabs/w:tab
style:tab-stop/@fo:position converted to w:tab/@w:pos
style:tab-stop/@style:type converted to w:tab/@w:val. When @style:type is not present, @w:val is set to 'clear' ";
;;Tab Stop Distance;;;;;
;;Hyphenation Keep;;;;;
;;Maximum Hyphens;;;;;
;;Drop Caps;;;;;
;;Register True;;;;;
;;Left and Right Margins;;0.1;Completed;"style:paragraph-properties/@fo:left-margin and style:paragraph-properties/@fo:right-margin are 
respectively translated to w:styles/w:style/w:pPr/w:ind/@w:left and w:styles/w:style/w:pPr/w:ind/@w:right (Convertion to twip units is required).";
;;Text Indent;;0.1;Completed;"style:paragraph-properties/@fo:left-margin and style:paragraph-properties/@fo:right-margin are 
respectively translated to w:styles/w:style/w:pPr/w:ind/@w:left and w:styles/w:style/w:pPr/w:ind/@w:right (Convertion to twip units is required).
";
;;Automatic Text Indent;;;;;
;;Top and Bottom Margins;;0.1;Completed;"style:paragraph-properties/@fo:margin-top converted to w:styles/w:style/w:pPr/w:spacing/@w:before
style:paragraph-properties/@fo:margin-right converted to w:styles/w:style/w:pPr/w:spacing/@w:after";
;;Margins;;;;;
;;Break Before and Break After;;;;;
;;Paragraph Background Color;;0.1;Partial;"style:paragraph-properties/@fo:background-color translated to w:styles/w:style/w:pPr/w:shd/@w:fill
Attribute @w:val is set to 'solid'";
;;Paragraph Background Image;;;;;
;;Border;;;;;
;;Border Line Width;;;;;
;;Padding;;;;;
;;Shadow;;;;;
;;Keep with Next;;;;;
;;Line Numbering;;;;;
;;Line Number Start Value;;;;;
;;Text Autospace;;;;;
;;Punctuation Wrap;;;;;
;;Line Break;;;;;
;;Vertical Alignment;;;;;
;;Writing Mode;;;;;
;;Automatic Writing Mode;;;;;
;;Snap To Layout;;;;;
;;Page Number;;;;;
;;Background Transparency;;;;;
;Ruby Text Formatting Properties;;;;;;
;;Ruby Position;;;;;
;;Ruby Alignment;;;;;
;Section Formatting Properties;;;;;;
;;Section Background;;;;;
;;Margins;;;;;
;;Columns;;;;;
;;Column Specification;;;;;
;;Column Separator;;;;;
;;Protect;;;;;
;;Don&#39;;;;;
;;Writing Mode;;;;;
;;Notes Configuration;;;;;
;Table Formatting Properties;;;;;;
;;Table Width;;0.1;Completed;"The table style name table:table/@table:style-name is set to w:tbl/w:tblPr/w:tblStyle/@w:val.
style:table-properties/@style:width for this table style name is converted to w:tbl/w:tblPr/w:tblW/@w:w";
;;Table Alignment;;;;;
;;Table Left and Right Margin;;;;;
;;Table Top and Bottom Margin;;;;;
;;Table Margins;;;;;
;;Page Number;;;;;
;;Break Before and Break After;;;;;
;;Table Background and Background Image;;;;;
;;Table Shadow;;;;;
;;Keep with Next;;;;;
;;May Break Between Rows;;;;;
;;Border Model Property;;;;;
;;Writing Mode;;;;;
;;Display;;;;;
;Column Formatting Properties;;;;;;
;;Column Width;;;;;
;;Optimal Table Column Width;;;;;
;;Break Before and Break After;;;;;
;Table Row Formatting Properties;;;;;;
;;Row Height;;;;;
;;Optimal Table Row Height;;;;;
;;Row Background;;;;;
;;Break Before and Break After;;;;;
;;Keep Together;;;;;
;Table Cell Formatting Properties;;;;;;
;;Vertical Alignment;;;;;
;;Text Align Source;;;;;
;;Direction;;;;;
;;Vertical Glyph Orientation;;;;;
;;Cell Shadow;;;;;
;;Cell Background;;;;;
;;Cell Border;;0.1;Partial;"table:table-cell is converted to w:tc
Based on style:table-cell-properties of the table style name the following properties have been converted :
w:tc/w:tcBorders children w:top, w:bottom, w:left, w:right have their attributes @w:val set to 'single'
@w:color set to substring-after(style:table-cell-properties/@fo:border, '#') and  
@w:sz set to substring-before(style:table-cell-properties/@fo:border, ' ')";
;;Diagonal Lines;;;;;
;;Border Line Width;;;;;
;;Padding;;0.1;Partial;"w:tc/w:tcMar/w:top is based on @fo:padding or @fo:padding-top (whether defined or not) attribute found in style:table-cell-properties. 
w:tc/w:tcMar/w:top/@w:type is set to 'dxa'
The same applies to the elements w:bottom, w:right and w:left";
;;Wrap Option;;;;;
;;Rotation Angle;;;;;
;;Rotation Align;;;;;
;;Cell Protect;;;;;
;;Print Content;;;;;
;;Decimal places;;;;;
;;Repeat Content;;;;;
;;Shrink To Fit;;;;;
;List-Level Style Properties;;;;;;
;StrCompletede Properties;;;;;;
;;StrCompletede Style;;;;;
;;Dash;;;;;
;;Multiple Dashes;;;;;
;;Width;;;;;
;;Color;;;;;
;;Start Marker;;;;;
;;End Marker;;;;;
;;Start Marker Width;;;;;
;;End Marker Width;;;;;
;;Start Marker Center;;;;;
;;End Marker Center;;;;;
;;Opacity;;;;;
;;Line Join;;;;;
;Fill Properties;;;;;;
;;Fill Style;;;;;
;;Color;;;;;
;;Secondary Fill Color;;;;;
;;Gradient;;;;;
;;Gradient Step Count;;;;;
;;Hatch;;;;;
;;Solid Hatch;;;;;
;;Fill Image;;;;;
;;Fill Image Rendering Style;;;;;
;;Fill Image Size;;;;;
;;Fill Image Tile Reference Point;;;;;
;;Fill Image Tile Translation;;;;;
;;None and Linear Opacity;;;;;
;;Gradient Opacity;;;;;
;;Fill Rule;;;;;
;;Symbol color;;;;;
;Text Animation Properties;;;;;;
;;Animation;;;;;
;;Animation Direction;;;;;
;;Animation Start Inside;;;;;
;;Animation Stop Inside;;;;;
;;Animation Repeat;;;;;
;;Animation Delay;;;;;
;;Animation Steps;;;;;
;Text and Text Alignment Properties;;;;;;
;;Auto Grow Width and Height;;;;;
;;Fit To Size;;;;;
;;Fit To Contour;;;;;
;;Text Area Vertical Align;;;;;
;;Text Area Horizontal Align;;;;;
;;Word Wrap;;;;;
;;List Styles;;;;;
;Color Properties;;;;;;
;;Color Mode;;;;;
;;Color Inversion;;;;;
;;Adjust Luminance;;;;;
;;Adjust Contrast;;;;;
;;Adjust Gamma;;;;;
;;Adjust Red;;;;;
;;Adjust Green;;;;;
;;Adjust Blue;;;;;
;;Adjust Opacity;;;;;
;Shadow Properties;;;;;;
;;Shadow;;;;;
;;Offset;;;;;
;;Color;;;;;
;;Opacity;;;;;
;Connector Properties;;;;;;
;;Start Line Spacing;;;;;
;;End Line Spacing;;;;;
;Measure Properties;;;;;;
;;Line Distance;;;;;
;;Guide Overhang;;;;;
;;Guide Distance;;;;;
;;Start Guide;;;;;
;;End Guide;;;;;
;;Placing;;;;;
;;Parallel;;;;;
;;Text Alignment;;;;;
;;Unit;;;;;
;;Show Unit;;;;;
;;Decimal Places;;;;;
;Caption Properties;;;;;;
;;Type;;;;;
;;Angle Type;;;;;
;;Angle;;;;;
;;Gap;;;;;
;;Escape Direction;;;;;
;;Escape;;;;;
;;Line Length;;;;;
;;Fit Line Length;;;;;
;3D Geometry Properties;;;;;;
;;Horizontal Segments;;;;;
;;Vertical Segments;;;;;
;;Edge Rounding;;;;;
;;Edge Rounding Mode;;;;;
;;Back Scale;;;;;
;;Depth;;;;;
;;Backface Culling;;;;;
;;End Angle;;;;;
;;Close Front;;;;;
;;Close Back;;;;;
;3D Lighting Properties;;;;;;
;;Mode;;;;;
;;Normals Kind;;;;;
;;Normals Direction;;;;;
;3D Texture Properties;;;;;;
;;Generation Mode;;;;;
;;Kind;;;;;
;;Filter;;;;;
;;Mode;;;;;
;3D Material Properties;;;;;;
;;Colors;;;;;
;;Shininess;;;;;
;3D Shadow Properties;;;;;;
;;Shadow;;;;;
;Frame Formatting Properties;;;;;;
;;Frame Widths;;;;;
;;Frame Heights;;;;;
;;Maximum Width and Height;;;;;
;;Left and Right Margins;;;;;
;;Top and Bottom Margins;;;;;
;;Margins;;;;;
;;Print Content;;;;;
;;Protect;;;;;
;;Horizontal Position;;;;;
;;Horizontal Relation;;;;;
;;Vertical Position;;;;;
;;Vertical Relation;;;;;
;;Frame Anchor;;;;;
;;Border;;;;;
;;Border Line Width;;;;;
;;Padding;;;;;
;;Shadow;;;;;
;;Background;;;;;
;;Columns;;;;;
;;Editable;;;;;
;;Wrapping;;;;;
;;Dynamic Wrap Threshold;;;;;
;;Paragraph-only Wrapping;;;;;
;;Contour Wrapping;;;;;
;;Contour Wrapping Mode;;;;;
;;Run Through;;;;;
;;Flow with Text;;;;;
;;Overflow behavior;;;;;
;;Mirroring;;;;;
;;Clipping;;;;;
;;Wrap Influence on Position;;;;;
;Floating Frame Formatting Properties;;;;;;
;;Display Scrollbar;;;;;
;;Display Border;;;;;
;;Margins;;;;;
;;Object Formatting Properties;;;;;
;;Visible Area;;;;;
;;Draw Aspect;;;;;
