OOX Experience / Scenario;Feature;Priority ;Delivery Milestone ;Completion Status;Developer;Technical description;Remarks/Questions
Main Document Story;;;;;;;
;background (Document Background) ;;;Completed;rebet;;"color works; TODO: investigate what's more needed"
;body (Document Body);;;Completed;;office:body;
;document (Document) ;;;Completed;;office:document-content;
Paragraphs;;;;;;;
;adjustRightInd (Automatically Adjust Right Indent When Using Document Grid) ;;;;;;
;autoSpaceDE (Automatically Adjust Spacing of Latin and East Asian Text) ;;;Completed;;style:paragraph-properties/@style:text-autospace;
;autoSpaceDN (Automatically Adjust Spacing of East Asian Text and Numbers) ;;;Completed;;style:paragraph-properties/@style:text-autospace;
;bar (Paragraph Border Between Facing Pages) ;;;;;;
;between (Paragraph Border Between Identical Paragraphs) ;;;;;;
;bidi (Right to Left Paragraph Layout) ;;;;;;
;bottom (Paragraph Border Between Identical Paragraphs) ;;;;;;
;cnfStyle (Paragraph Conditional Formatting) ;;;;;;
;contextualSpacing (Ignore Spacing Above and Below When Using Identical Styles) ;;;;;;
; divId (Associated HTML DIV ID) ;;;;;;
; framePr (Text Frame Properties) ;;;;;;
; ind (Paragraph indentation) ;;;Completed;rebet;;
; jc (Paragraph Alignment) ;;;Completed;;style:paragraph-properties/@fo:text-align;
; keepLines (Keep All Lines On One Page) ;;;Completed;;style:paragraph-properties/@fo:keep-together;
; keepNext (Keep Paragraph With Next Paragraph) ;;;Completed;;style:paragraph-properties/@fo:keep-with-next;
; kinsoku (Use East Asian Typography Rules for First and Last Character per Line) ;;;;;;
; left (Left Paragraph Border) ;;;;;;
; mirrorIndents (Use Left/Right Indents as Inside/Outside Indents);;;;;;
; numPr (Numbering Definition Instance Reference) ;;;Completed;tomek_mueller;;
; outlineLvl (Associated Outline Level) ;;;;;;
; overflowPunct (Allow Punctuation to Extent Past Text Extents) ;;;Completed;;style:paragraph-properties/@style:punctuation-wrap;
; p (Paragraph) ;;;Completed;;text:p;
; pageBreakBefore (Start Paragraph on Next Page) ;;;Completed;;style:paragraph-properties/@fo:break-before;
; pBdr (Paragraph Borders);;;Completed;;style:paragraph-properties/@fo:border;
; pPr (Revised Paragraph Properties) ;;;;;;
; pPr (Paragraph Properties) ;;;Completed;;style:paragraph-properties;
; pStyle (Referenced Paragraph Style) ;;;;;;
; right (Right Paragraph Border) ;;;;;;
; rPr (Run Properties for the Paragraph Mark) ;;;Completed;;style:text-properties;
; shd (Paragraph Shading);;;Completed;;style:paragraph-properties/@fo:background-color;
; snapToGrid (Use Document Grid Settings for Inter-Line Paragraph Spacing);;;Completed;;style:paragraph-properties/@style:snap-to-layout-grid;
; spacing (Spacing Between Lines and Above/Below Paragraph) ;;;Completed;;style:paragraph-properties/@fo:margin-top and @fo:margin-bottom;
; suppressAutoHyphens (Suppress Hyphenation for Paragraph) ;;;;;;
; suppressLineNumbers (Suppress Line Numbers for Paragraph);;;Completed;;style:paragraph-properties/@text:number-lines;
; suppressOverlap (Prevent Text Frames From Overlapping Paragraph) ;;;;;;
; tab (Custom Tab Stop) ;;;Completed;;;
; tabs (Set of Custom Tab Stops) ;;;Completed;;style:paragraph-properties//@style:tab-stop element;
; textAlignment (Vertical Character Alignment on Line) ;;;Completed;;style:paragraph-properties/@style:vertical-align;
; textboxTightWrap (Allow Surrounding Paragraphs to Tight Wrap to Text Box Contents) ;;;;;;
; textDirection (Paragraph Text Flow Direction);;;Completed;;style:paragraph-properties/@style:writing-mode;
; top (Paragraph Border Above Identical Paragraphs) ;;;;;;
; topLinePunct (Compress Punctuation at Start of a Line) ;;;;;;
; widowControl (Allow First/Last Line to Display on a Separate Page) ;;;;;;
; wordWrap (Allow Line Breaking At Character Level) ;;;;;;
Runs;;;;;;;
;b (Bold);;;Completed;;style:text-properties/@fo:font-weight;
;bCs (Complex Script Bold) ;;;Completed;;style:text-properties/@style:font-weight-complex;
;bdr (Text Border) ;;;;;;
;caps (Display All Characters As Capital Letters) ;;;Completed;;style:text-properties/@fo:text-transform;
;color (Run Content Color) ;;;Completed;;style:text-properties/@fo:color;
;cs (Use Complex Script Formatting on Run) ;;;Completed;;style:text-properties/@style:script-type;
;dstrike (Double Strikethrough) ;;;Completed;;style:text-properties/@style:text-line-through-type and @style:text-line-through-style;
;eastAsianLayout (East Asian Typography Settings) ;;;;;;
;effect (Animated Text Effect) ;;;Completed;;style:text-properties/@style:text-blinking;mostly not supported in ODT(only blinking)
;em (Emphasis Mark) ;;;Completed;;style:text-properties/@style:text-emphasize;
;emboss (Embossing) ;;;Completed;;style:text-properties/@style:font-relief;
;fitText (Manual Run Width) ;;;;;;
;highlight (Text Highlighting) ;;;Completed;;style:text-properties/@fo:background-color;
;i (Italics) ;;;Completed;;style:text-properties/@fo:font-style;
;iCs (Complex Script Italics) ;;;Completed;;style:text-properties/@style:font-style-complex;
;imprint (Imprinting) ;;;Completed;;style:text-properties/@style:font-relief;
;kern (Font Kerning) ;;;Completed;;style:text-properties/@style:letter-kerning;
;lang (Languages for Run Content) ;;;Completed;;style:text-properties/@fo:language  and @fo:language-complex;
;noProof (Do Not Check Spelling or Grammar);;;;;;
;oMath (Office Open XML Math) ;;;;;;
;outline (Display Character Outline) ;;;Completed;;style:text-properties/@style:text-outline;
;position (Vertically Raised or Lowered Text) ;;;Partial;;style:text-properties/@style:text-position;if text is raised or lowered by more than 100%, position is converted wrongly, TODO: Investigate how to fix this issue
;r (Text Run) ;;;Completed;;text:span;
;r (Phonetic Guide Text Run) ;;;;;;
;rFonts (Run Fonts) ;;;Completed;;style:text-properties/@style:font-name, @style:font-name-complex, @style:font-name-asian;
;rPr (Run Properties) ;;;Completed;;style:text-properties/@style:font-name, @style:font-name-complex, @style:font-name-asian;
;rPr (Revised Run Properties) ;;;;;;
;rStyle (Referenced Character Style) ;;;;;;
;rtl (Right To Left Text);;;;;;
;shadow (Shadow) ;;;Completed;;style:text-properties/@fo:text-shadow;
;shd (Run Shading) ;;;;;;
;smallCaps (Small Caps) ;;;Completed;;style:text-properties/@fo:font-variant;
;snapToGrid (Use Document Grid Settings For Inter-Character Spacing) ;;;;;;
;spacing (Character Spacing Adjustment) ;;;;;;
;specVanish (Paragraph Mark Is Always Hidden) ;;;;;;
;strike (Single Strikethrough) ;;;Completed;;style:text-properties/@style:text-line-through-type or @style:text-line-through-style;
;sz (Font Size) ;;;Completed;;style:text-properties/@fo:font-size;
;szCs (Complex Script Font Size) ;;;Completed;;style:text-properties/@style:font-size-complex;
;u (Underline) ;;;Completed;; style:text-properties/@style:text-underline-type and s@tyle:text-underline-style and @style:text-underline-width;
;vanish (Hidden Text) ;;;Completed;;style:text-properties/@text:display;
;vertAlign (Subscript/Superscript Text) ;;;Partial;;style:text-properties/@style:text-position;if text is raised or lowered by more than 100%, position is converted wrongly, TODO: Investigate how to fix this issue
;w (Expanded/Compressed Text) ;;;Completed;;style:text-properties/@style:text-scale;
;webHidden (Web Hidden Text) ;;;;;;
Run Content;;;;;;;
;br (Break) ;;;Line Breaks Completed, Column Breaks and Page Breaks partial, TODO: investigate how to convert many column or page breaks in one paragraph;;text:line-break, style:paragraph-properties/@fo:break-after;
;cr (Carriage Return) ;;;;;;
;dayLong (Date Block - Long Day Format) ;;;;;;
;dayShort (Date Block - Short Day Format) ;;;;;;
;delText (Deleted Text) ;;;;;;
;drawing (DrawingML Object) ;;;Partial;;;TODO investigate what attributes should be converted
;hps (Phonetic Guide Text Font Size) ;;;;;;
;hpsBaseText (Phonetic Guide Base Text Font Size) ;;;;;;
;hpsRaise (Distance Between Phonetic Guide Text and Phonetic Guide Base Text);;;;;;
; lid (Language ID for Phonetic Guide) ;;;;;;
; monthLong (Date Block - Long Month Format) ;;;;;;
; monthShort (Date Block - Short Month Format) ;;;;;;
; noBreakHyphen (Non Breaking Hyphen Character) ;;;;;;
; object (Inline Embedded Object) ;;;;;;
; ocx (Floating ActiveX Control);;;;;;
;ocx (Inline ActiveX Control);;;;;;
;pgNum (Page Number Block) ;;;;;;
;pict (VML Object) ;;;;;;
;ptab (Absolute Position Tab Character) ;;;;;;
;rt (Phonetic Guide Text) ;;;;;;
;ruby (Phonetic Guide) ;;;;;;
;rubyAlign (Phonetic Guide Text Alignment) ;;;;;;
;rubyBase (Phonetic Guide Base Text) ;;;;;;
;rubyPr (Phonetic Guide Properties) ;;;;;;
;softHyphen (Optional Hyphen Character) ;;;;;;
;sym (Symbol Character) ;;;;;;
;t (Text) ;;;Completed;;;
;tab (Tab Character) ;;;;;;
;yearLong (Date Block - Long Year Format) ;;;;;;
;yearShort (Date Block - Short Year Format);;;;;;
Tables;;;;;;;
;bidiVisual (Visually Right to Left Table);;;;;;
;bottom (Table Cell Bottom Margin Exception);;;Completed;;style:table-cell-properties/@fo:padding-bottom;
;bottom (Table Cell Bottom Border) ;;;Completed;;style:table-cell-properties/@fo:border-bottom;
;bottom (Table Bottom Border);;;Completed;;style:table-cell-properties/@fo:border-bottom;
;bottom (Table Cell Bottom Margin Default);;;Completed;;style:table-cell-properties/@fo:padding-bottom;
;cantSplit (Table Row Cannot Break Across Pages);;;;;style:table-row-properties/@style:keep-together;
;cnfStyle (Table Cell Conditional Formatting) ;;;;;;
;cnfStyle (Table Row Conditional Formatting) ;;;;;;
;divId (Associated HTML div ID) ;;;;;;
;gridAfter (Grid Columns After Last Cell) ;;;;;;
;gridBefore (Grid Columns Before First Cell) ;;;;;;
;gridCol (Grid Column Definition) ;;;Completed;;table:table-column;
;gridSpan (Grid Columns Spanned by Current Table Cell) ;;;Completed;;table:table-cell/@table:number-columns-spanned;
;hidden (Hidden Table Row Marker) ;;;;;;
;hideMark (Ignore End Of Cell Marker In Row Height Calculation);;;;;;
;hMerge (Horizontally Merged Cell);;;;;;
;insideH (Table Inside Horizontal Edges Border) ;;;;;;
;insideH (Table Cell Inside Horizontal Edges Border);;;;;;
;insideV (Table Cell Inside Vertical Edges Border);;;;;;
;insideV (Table Inside Vertical Edges Border);;;;;;
;jc (Table Alignment Exception) ;;;Completed;;style:table-properties/@table:align;
;jc (Table Row Alignment) ;;;Completed;;style:table-properties/@table:align;
;jc (Table Alignment) ;;;Completed;;style:table-properties/@table:align;
;left (Table Cell Left Border) ;;;Completed;;style:table-cell-properties/@fo:border-left;
;left (Table Cell Left Margin Exception) ;;;Completed;;style:table-cell-properties/@fo:padding-left;
;left (Table Cell Left Margin Default) ;;;Completed;;style:table-cell-properties/@fo:padding-left;
;left (Table Left Border);;;Completed;;style:table-cell-properties/@fo:border-left;
;noWrap (Don't Wrap Cell Content);;;;;;
;right (Table Cell Right Margin Default) ;;;Completed;;style:table-cell-properties/@fo:padding-right;
;right (Table Cell Right Border) ;;;Completed;;style:table-cell-properties/@fo:border-right;
;right (Table Cell Right Margin Exception) ;;;Completed;;style:table-cell-properties/@fo:padding-right;
;right (Table Right Border);;;Completed;;style:table-cell-properties/@fo:border-right;
;shd (Table Cell Shading);;;Completed;;style:table-cell-properties/@fo:background-color;
;shd (Table Shading Exception);;;Completed;;style:table-cell-properties/@fo:background-color;
;shd (Table Shading);;;Completed;;style:table-cell-properties/@fo:background-color;
;tbl (Table);;;Completed;;table:table;
;tblBorders (Table Borders Exceptions);;;Completed;;style:table-cell-properties/@fo:border-right,style:table-cell-properties/@fo:border-left,style:table-cell-properties/@fo:border-top,style:table-cell-properties/@fo:border-bottom;
;tblBorders (Table Borders);;;Completed;;style:table-cell-properties/@fo:border-right,style:table-cell-properties/@fo:border-left,style:table-cell-properties/@fo:border-top,style:table-cell-properties/@fo:border-bottom;
;tblCellMar (Table Cell Margin Defaults) ;;;Completed;;style:table-cell-properties/@fo:padding-right,style:table-cell-properties/@fo:padding-left,style:table-cell-properties/@fo:padding-top,style:table-cell-properties/@fo:padding-bottom;
;tblCellMar (Table Cell Margin Exceptions);;;Completed;;style:table-cell-properties/@fo:padding-right,style:table-cell-properties/@fo:padding-left,style:table-cell-properties/@fo:padding-top,style:table-cell-properties/@fo:padding-bottom;
;tblCellSpacing (Table Cell Spacing Exception);;;;;;
;tblCellSpacing (Table Row Cell Spacing) ;;;;;;
;tblCellSpacing (Table Cell Spacing Default);;;;;;
;tblGrid (Table Grid) ;;;Completed;;style:table-properties/@style:width;
;tblGrid (Previous Table Grid);;;Completed;;style:table-properties/@style:width;
;tblHeader (Repeat Table Row on Every New Page) ;;;;;table:table-header-rows;
;tblInd (Table Indent from Leading Margin Exception) ;;;Completed;;style:table-properties/@fo:margin-left;
;tblInd (Table Indent from Leading Margin);;;Completed;;style:table-properties/@fo:margin-left;
;tblLayout (Table Layout) ;;;;;;
;tblLayout (Table Layout Exception);;;;;;
;tblLook (Table Style Conditional Formatting Settings);;;;;;
;tblLook (Table Style Conditional Formatting Settings Exception) ;;;;;;
;tblOverlap (Floating Table Allows Other Tables to Overlap) ;;;;;;
;tblpPr (Floating Table Positioning);;;Completed;;table:align;
;tblPr (Table Properties) ;;;;;;
;tblPr (Previous Table Properties) ;;;;;;
;tblPrEx (Table-Level Property Exceptions) ;;;;;;
;tblPrEx (Previous Table-Level Property Exceptions) ;;;;;;
;tblStyle (Referenced Table Style);;;;;;
;tblW (Preferred Table Width Exception) ;;;;;;
;tblW (Preferred Table Width);;;;;;
;tc (Table Cell) ;;;Completed;;table:table-cell;
;tcBorders (Table Cell Borders);;;Completed;;style:border-line-width-bottom;
;tcFitText (Fit Text Within Cell) ;;;;;;
;tcMar (Single Table Cell Margins) ;;;;;;
;tcPr (Previous Table Cell Properties) ;;;;;;
;tcPr (Table Cell Properties) ;;;;;;
;tcW (Preferred Table Cell Width) ;;;;;;
;textDirection (Table Cell Text Flow Direction) ;;;;;;
;tl2br (Table Cell Top Left to Bottom Right Diagonal Border) ;;;;;;
;top (Table Top Border) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Margin Default) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Margin Exception) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;top (Table Cell Top Border) ;;;Completed;;style:border-line-width-top/@fo:border-top;
;tr (Table Row) ;;;Completed;;table:table-row;
;tr2bl (Table Cell Top Right to Bottom Left Diagonal Border) ;;;;;;
;trHeight (Table Row Height);;;;;;
;trPr (Table Row Properties);;;;;;
;trPr (Previous Table Row Properties) ;;;;;;
;vAlign (Table Cell Vertical Alignment) ;;;Completed;;style:table-cell-properties/@fo:vertical-align;
;vMerge (Vertically Merged Cell) ;;;;;;
;wAfter (Preferred Width After Table Row) ;;;;;;
;wBefore (Preferred Width Before Table Row) ;;;;;;
Custom Markup;;;;;;;
;Custom XML and Smart Tags;;;;;;
;Structured Document Tags ;;;;;;
Sections;;;;;;;
;bidi (Right to Left Section Layout);;;Not implemented;;ODF does not support.;
;bottom (Bottom Border);;;Completed?;;"style:page-layout-properties/@style:shadow=""#000000 0.049cm 0.049cm"" if and only if borders are defined";
;;;;;;"style:page-layout-properties/@fo:border-bottom=""solid "".w:pgBorders/w:bottom/@w:sz."" #"".w:pgBorders/w:bottom/@w:color";
;col (Single Column Definition) ;;;Completed;;style:column;
;cols (Column Definitions) ;;;Completed;;style:columns;
;docGrid (Document Grid);;;Not implemented;;ODF does not support this feature;
;formProt (Only Allow Editing of Form Fields) ;;;Not implemented;;ODF does not support this feature;
;left (Left Border) ;;;Completed;;"style:page-layout-properties/@style:shadow == ""#000000 0.049cm 0.049cm""";
;;;;;;"style:page-layout-properties/@fo:border-bottom == ""solid "".w:pgBorders/w:bottom/@w:sz in centimeters."" #"".w:pgBorders/w:bottom/@w:color";
;lnNumType (Line Numbering Settings) ;;;;;"<style:style style:name=""Line_20_numbering"" style:display-name=""Line numbering"" style:family=""text""/>";
;;;;;;"if and only if w:lnNumType/@w:restart == 'continuous' , text:linenumbering-configuration/@text:restart-on-page is set ""true"" text:linenumbering-configuration/@text:increment == key('sectPr', '')/w:lnNumType/@w:countBy (or 1 if @w:countBy is not set)
";
;;;;;;text:linenumbering-configuration/@text:offset == /w:lnNumType/@w:distance in centimeters;
;paperSrc (Paper Source Information) ;;;Not implemented;;ODF does not support this feature;
;pgBorders (Page Borders) ;;;;;;
;pgMar (Page Margins) ;;;Completed;rebet;;
;pgNumType (Page Numbering Settings) ;;;;;;
;pgSz (Page Size) ;;;Completed;rebet;;
;right (Right Border) ;;;;;;
;rtlGutter (Gutter on Right Side of Page) ;;;;;;
;sectPr (Previous Section Properties) ;;;Completed;;;
